"bill","committee","session","url","filename","date"
"","Public hearing before SENATE ENVIRONMENT COMMITTEE/ ASSEMBLY ENVIRONMENT AND SOLID WASTE COMMITTEE SENATE ENVIRONMENT COMMITTEE/ ASSEMBLY ENVIRONMENT AND SOLID WASTE COMMITTEE","2008 Public Hearings","http://www.njleg.state.nj.us/legislativepub/pubhear/senaen041508.pdf","senaen041508.pdf","April 15, 2008"
"","Public hearing before SENATE ENVIRONMENT COMMITTEE/ ASSEMBLY ENVIRONMENT AND SOLID WASTE COMMITTEE SENATE ENVIRONMENT COMMITTEE/ ASSEMBLY ENVIRONMENT AND SOLID WASTE COMMITTEE","2008 Public Hearings","http://www.njleg.state.nj.us/legislativepub/pubhear/senaen041508_appendix.pdf","senaen041508_appendix.pdf","April 15, 2008"
"","Committee Meeting of SENATE ENVIRONMENT COMMITTEE SENATE ENVIRONMENT COMMITTEE","2008 Public Hearings","http://www.njleg.state.nj.us/legislativepub/pubhear/sen06162008.pdf","sen06162008.pdf","June 16, 2008"
"","Committee Meeting of SENATE ENVIRONMENT COMMITTEE SENATE ENVIRONMENT COMMITTEE","2008 Public Hearings","http://www.njleg.state.nj.us/legislativepub/pubhear/sen06162008_appendix.pdf","sen06162008_appendix.pdf","June 16, 2008"
"","Hearing before SENATE COMMUNITY AND URBAN AFFAIRS COMMITTEE Hearing before SENATE COMMUNITY AND URBAN AFFAIRS COMMITTEE","2009 Public Hearings","http://www.njleg.state.nj.us/legislativepub/pubhear/scu02092009_appendix.pdf","scu02092009_appendix.pdf","February 9, 2009"
"","Committee Meeting of SENATE EDUCATION COMMITTEE COMMITTEE","2009 Public Hearings","http://www.njleg.state.nj.us/legislativepub/pubhear/sed12072009.pdf","sed12072009.pdf","December 7, 2009"
"","Hearing before SENATE COMMUNITY AND URBAN AFFAIRS COMMITTEE Hearing before SENATE COMMUNITY AND URBAN AFFAIRS COMMITTEE","2010 Public Hearings","http://www.njleg.state.nj.us/legislativepub/pubhear/scu01072010.pdf","scu01072010.pdf","January 7, 2010"
"","Hearing before SENATE COMMUNITY AND URBAN AFFAIRS COMMITTEE Hearing before SENATE COMMUNITY AND URBAN AFFAIRS COMMITTEE","2010 Public Hearings","http://www.njleg.state.nj.us/legislativepub/pubhear/scu01072010_appendix.pdf","scu01072010_appendix.pdf","January 7, 2010"
"","Public Hearing before SENATE ECONOMIC GROWTH COMMITTEE and SENATE ENVIRONMENT COMMITTEE Senate Bill No. 2428 Public Hearing before SENATE ECONOMIC GROWTH COMMITTEE and SENATE ENVIRONMENT COMMITTEE Senate Bill No. 2428","2008 Public Hearings","http://www.njleg.state.nj.us/legislativepub/pubhear/SEG_SEN12112008.pdf","SEG_SEN12112008.pdf","December 11 , 2008"
"","Committee Meeting of SENATE LABOR COMMITTEE Committee Meeting of SENATE LABOR COMMITTEE","2008 Public Hearings","http://www.njleg.state.nj.us/legislativepub/pubhear/sla05052008.pdf","sla05052008.pdf","May 5, 2008"
"","Committee Meeting of SENATE LABOR COMMITTEE Committee Meeting of SENATE LABOR COMMITTEE","2008 Public Hearings","http://www.njleg.state.nj.us/legislativepub/pubhear/sla050508_appendix.pdf","sla050508_appendix.pdf","May 5, 2008"
